id,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,4-Oct
1,3,3,3,3,1,3,3,NA,3,3,3,3
2,1,3,3,2,3,3,3,NA,3,3,3,3
3,1,3,3,3,3,3,3,NA,3,3,3,3
4,3,3,3,3,3,3,3,NA,3,3,3,3
5,1,3,3,1,3,3,3,NA,3,3,3,3
6,3,3,3,2,3,3,3,NA,3,3,3,3
7,3,3,3,3,3,3,3,NA,3,3,3,3
8,2,3,3,3,3,3,3,NA,3,3,3,3
9,3,3,3,3,3,3,3,NA,3,3,3,3
10,3,3,3,3,3,3,3,NA,3,3,3,3
11,3,3,3,3,3,3,3,NA,3,3,3,3
12,3,3,3,3,3,3,3,NA,3,3,3,3
13,3,1,3,3,3,3,3,NA,3,3,3,3
14,3,3,3,3,3,3,3,NA,3,3,3,3
15,3,2,3,3,3,3,3,NA,3,3,3,3
16,3,3,3,3,3,3,3,NA,3,3,3,3
17,3,1,3,3,3,3,3,NA,3,3,3,3
21,3,3,3,3,3,3,3,NA,3,3,3,3
22,3,3,3,3,3,3,3,NA,3,3,3,3
23,3,3,3,3,3,3,3,NA,3,3,3,3
24,3,3,3,3,3,3,3,NA,3,3,3,3
25,3,1,3,3,3,3,3,NA,3,3,3,3
26,3,3,3,3,3,1,3,NA,3,3,3,3
27,3,3,3,2,3,3,3,NA,3,3,3,3
28,3,3,3,3,3,3,3,NA,3,3,3,3
29,3,3,3,3,3,3,3,NA,3,3,3,3
30,3,3,3,3,3,3,3,NA,3,3,3,3
31,3,3,3,3,3,3,3,NA,3,3,3,3
32,3,3,3,3,3,3,3,NA,3,3,3,3
33,3,3,3,3,3,3,3,NA,3,3,3,3
34,3,3,3,3,3,3,3,NA,3,3,3,3
35,3,3,3,3,3,3,3,NA,3,3,3,3
36,3,3,3,3,3,3,3,NA,3,3,3,3
37,3,3,3,3,3,3,3,NA,3,3,3,3
38,3,3,3,3,3,3,3,NA,3,3,3,3
39,3,1,3,3,2,3,3,NA,3,3,3,3
40,3,3,3,3,3,3,3,NA,3,3,3,3
41,1,3,3,3,3,3,3,NA,3,3,3,3
42,3,3,3,3,3,3,3,NA,3,3,3,3
43,3,3,3,3,3,3,3,NA,3,3,3,3
44,3,3,3,3,3,3,3,NA,3,3,3,3
45,3,1,3,3,3,3,3,NA,3,3,3,3
46,1,3,3,3,3,3,3,NA,3,3,3,3
47,3,3,3,3,3,3,3,NA,3,3,3,3
48,3,3,3,3,3,3,3,NA,3,3,3,3
49,3,3,3,3,3,3,3,NA,3,3,3,3
50,3,3,3,3,3,3,3,NA,3,3,3,3
51,3,3,3,3,3,3,3,NA,3,3,3,3
52,3,3,3,3,3,3,3,NA,3,3,3,3
